ts_code,trade_date,open,high,low,close,change,pct_change,vol,amount,amplitude,exchange_rate
688120,20240401,175.5,176.8,172.55,173.78,-0.22,-0.13,13366,233219552.0,2.44,1.18
688120,20240402,174.1,174.8,170.66,171.85,-1.93,-1.11,8944,154006791.0,2.38,0.79
688120,20240403,171.5,173.48,168.6,171.43,-0.42,-0.24,10842,185474139.0,2.84,0.96
688120,20240408,170.35,175.05,170.35,170.44,-0.99,-0.58,9255,159555180.0,2.74,0.82
688120,20240409,170.58,172.5,168.2,172.0,1.56,0.92,6741,114928122.0,2.52,0.6
688120,20240410,170.4,171.7,165.51,165.83,-6.17,-3.59,8631,144807543.0,3.6,0.76
688120,20240411,164.3,166.52,160.32,162.47,-3.36,-2.03,14440,235242567.0,3.74,1.28
688120,20240412,162.0,163.48,159.4,159.4,-3.07,-1.89,11106,178617956.0,2.51,0.98
688120,20240415,160.12,169.49,160.12,162.0,2.6,1.63,23596,387417017.0,5.88,2.09
688120,20240416,160.5,163.65,153.42,155.37,-6.63,-4.09,19516,307173770.0,6.31,1.73
688120,20240417,157.3,159.78,153.52,158.41,3.04,1.96,19576,307944754.0,4.03,1.73
688120,20240418,156.87,163.89,154.03,160.3,1.89,1.19,16881,270351625.0,6.22,1.49
688120,20240419,159.0,159.0,154.88,155.05,-5.25,-3.28,11478,179353519.0,2.57,1.02
688120,20240422,154.1,157.5,151.66,155.94,0.89,0.57,9486,147354823.0,3.77,0.84
688120,20240423,157.34,160.74,155.15,159.79,3.85,2.47,11338,179333450.0,3.58,1.0
688120,20240424,159.9,164.66,158.26,158.78,-1.01,-0.63,16475,265064084.0,4.01,1.46
688120,20240425,158.78,160.95,156.6,157.16,-1.62,-1.02,14248,226252974.0,2.74,1.26
688120,20240426,156.23,162.31,155.88,162.31,5.15,3.28,19274,306455085.0,4.09,1.71
688120,20240429,160.11,176.42,160.05,173.19,10.88,6.7,27968,478210050.0,10.09,2.47
688120,20240430,172.6,173.3,170.27,170.68,-2.51,-1.45,10792,185234313.0,1.75,0.95
688120,20240506,174.0,178.0,173.0,176.1,5.42,3.18,16211,285350344.0,2.93,1.43
688120,20240507,175.7,177.46,174.08,176.61,0.51,0.29,12237,215066076.0,1.92,1.08
688120,20240508,176.1,177.91,174.2,174.88,-1.73,-0.98,9660,170109387.0,2.1,0.85
688120,20240509,175.23,186.0,175.06,183.85,8.97,5.13,19428,355818396.0,6.26,1.72
688120,20240510,183.85,185.6,176.15,180.3,-3.55,-1.93,14078,253870839.0,5.14,1.25
688120,20240513,177.3,183.61,176.01,182.5,2.2,1.22,13686,247539212.0,4.22,1.21
688120,20240514,182.9,184.5,180.13,181.4,-1.1,-0.6,7391,134600948.0,2.39,0.65
688120,20240515,180.7,185.44,176.8,176.94,-4.46,-2.46,12151,219785053.0,4.76,1.07
688120,20240516,176.94,179.6,173.74,178.99,2.05,1.16,10707,188569540.0,3.31,0.95
688120,20240517,176.0,178.0,173.02,177.97,-1.02,-0.57,10226,179752579.0,2.78,0.9
688120,20240520,177.0,179.8,174.21,177.39,-0.58,-0.33,10244,181215190.0,3.14,0.91
688120,20240521,175.8,179.86,175.0,175.2,-2.19,-1.23,10145,179887784.0,2.74,0.9
688120,20240522,176.0,176.55,169.9,173.12,-2.08,-1.19,11415,196950186.0,3.8,1.01
688120,20240523,173.0,177.3,171.76,174.12,1.0,0.58,8572,149750821.0,3.2,0.76
688120,20240524,174.29,176.99,172.0,172.57,-1.55,-0.89,8333,145264819.0,2.87,0.74
688120,20240527,172.0,181.48,170.09,181.02,8.45,4.9,17402,307585553.0,6.6,1.54
688120,20240528,181.0,183.84,177.68,178.4,-2.62,-1.45,11833,214026496.0,3.4,1.05
688120,20240529,176.73,180.54,176.66,179.0,0.6,0.34,7079,126257245.0,2.17,0.63
688120,20240530,178.02,182.51,177.11,181.15,2.15,1.2,9494,171540170.0,3.02,0.84
688120,20240531,181.0,182.29,175.0,175.94,-5.21,-2.88,9128,163031256.0,4.02,0.81
688120,20240603,175.6,182.67,175.28,181.5,5.56,3.16,13992,252090287.0,4.2,1.24
