ts_code,trade_date,open,high,low,close,change,pct_change,vol,amount,amplitude,exchange_rate
688169,20240401,345.0,349.65,336.33,336.96,-5.61,-1.64,15689,537116185.0,3.89,1.19
688169,20240402,339.0,339.0,332.33,335.75,-1.21,-0.36,9813,328577680.0,1.98,0.75
688169,20240403,335.75,344.98,335.75,337.94,2.19,0.65,12636,429256686.0,2.75,0.96
688169,20240408,338.0,347.0,331.11,334.35,-3.59,-1.06,13380,452061864.0,4.7,1.02
688169,20240409,334.05,339.5,330.0,337.99,3.64,1.09,10216,343727528.0,2.84,0.78
688169,20240410,337.04,337.99,326.66,336.0,-1.99,-0.59,11666,389364831.0,3.35,0.89
688169,20240411,334.99,357.77,331.33,354.0,18.0,5.36,26339,925734273.0,7.87,2.0
688169,20240412,354.06,358.06,345.27,348.0,-6.0,-1.69,17324,608582567.0,3.61,1.32
688169,20240415,347.0,360.0,345.0,353.2,5.2,1.49,16703,587611957.0,4.31,1.27
688169,20240416,354.0,359.38,348.39,349.89,-3.31,-0.94,12050,425628534.0,3.11,0.92
688169,20240417,349.92,374.6,347.96,374.6,24.71,7.06,21537,781435228.0,7.61,1.64
688169,20240418,371.2,385.85,367.15,375.73,1.13,0.3,17662,665976750.0,4.99,1.34
688169,20240419,373.2,377.5,367.2,375.16,-0.57,-0.15,11104,413990926.0,2.74,0.84
688169,20240422,374.9,391.63,374.9,382.41,7.25,1.93,14339,549176410.0,4.46,1.09
688169,20240423,380.26,385.0,370.25,375.99,-6.42,-1.68,9549,358198680.0,3.86,0.73
688169,20240424,375.99,385.67,372.12,384.6,8.61,2.29,7989,303347450.0,3.6,0.61
688169,20240425,385.44,387.7,369.2,373.79,-10.81,-2.81,13676,510853168.0,4.81,1.04
688169,20240426,373.79,388.76,373.05,382.3,8.51,2.28,11536,440987193.0,4.2,0.88
688169,20240429,382.3,419.88,382.3,412.99,30.69,8.03,25803,1047725183.0,9.83,1.96
688169,20240430,411.0,428.06,409.42,425.02,12.03,2.91,16745,707871158.0,4.51,1.27
688169,20240506,436.0,465.0,432.03,458.0,32.98,7.76,22993,1024451108.0,7.76,1.75
688169,20240507,457.0,457.0,439.0,441.3,-16.7,-3.65,17811,791146724.0,3.93,1.35
688169,20240508,442.41,448.8,437.02,444.88,3.58,0.81,11750,520417626.0,2.67,0.89
688169,20240509,443.78,453.4,438.0,446.0,1.12,0.25,10946,487216838.0,3.46,0.83
688169,20240510,444.7,468.0,442.05,463.3,17.3,3.88,13659,628393519.0,5.82,1.04
688169,20240513,455.33,469.99,451.0,465.1,1.8,0.39,17180,793910833.0,4.1,1.31
688169,20240514,464.0,469.85,454.0,463.0,-2.1,-0.45,11413,526159771.0,3.41,0.87
688169,20240515,462.0,464.0,443.53,446.1,-16.9,-3.65,17828,798587943.0,4.42,1.36
688169,20240516,444.36,446.0,427.3,432.49,-13.61,-3.05,28159,1225773196.0,4.19,2.14
688169,20240517,430.88,436.79,418.31,428.6,-3.89,-0.9,18943,806410254.0,4.27,1.44
688169,20240520,424.93,431.99,419.33,426.74,-1.86,-0.43,12726,540763767.0,2.95,0.97
688169,20240521,422.3,438.88,422.16,433.91,7.17,1.68,16727,726552795.0,3.92,1.27
688169,20240522,433.9,434.91,420.0,420.01,-13.9,-3.2,14326,606459044.0,3.44,1.09
688169,20240523,420.04,425.88,416.06,424.85,4.84,1.15,11976,505362171.0,2.34,0.91
688169,20240524,426.0,432.26,420.22,424.9,0.05,0.01,9317,398443000.0,2.83,0.71
688169,20240527,420.0,423.64,404.2,417.74,-7.16,-1.69,24259,1003755038.0,4.58,1.84
688169,20240528,416.9,422.98,412.85,416.15,-1.59,-0.38,8393,349832919.0,2.42,0.64
688169,20240529,415.28,420.0,410.01,418.0,1.85,0.44,11524,479034003.0,2.4,0.88
688169,20240530,413.0,426.88,413.0,418.26,0.26,0.06,9608,404847310.0,3.32,0.73
688169,20240531,418.23,425.95,414.0,416.86,-1.4,-0.33,8974,375931957.0,2.86,0.68
688169,20240603,419.32,443.01,414.1,438.18,21.32,5.11,18376,797880190.0,6.94,1.4
688169,20240604,435.99,441.86,426.18,439.16,0.98,0.22,14966,651558391.0,3.58,1.14
688169,20240605,439.2,440.88,427.17,428.89,-10.27,-2.34,10292,444573503.0,3.12,0.78
688169,20240606,430.0,430.0,421.33,424.0,-4.89,-1.14,8996,381921118.0,2.02,0.68
688169,20240607,424.85,424.85,406.6,412.45,-11.55,-2.72,17744,733295628.0,4.3,1.35
688169,20240611,404.21,410.0,393.0,400.8,-11.65,-2.82,26296,1056234019.0,4.12,2.0
688169,20240612,403.3,415.0,400.8,412.69,11.89,2.97,18691,766812465.0,3.54,1.42
688169,20240613,412.0,419.47,408.99,416.0,3.31,0.8,12093,501244301.0,2.54,0.92
688169,20240614,413.39,421.0,401.94,401.94,-14.06,-3.38,20586,841049403.0,4.58,1.56
688169,20240617,406.0,422.94,399.44,411.47,9.53,2.37,20607,850007572.0,5.85,1.57
688169,20240618,415.0,415.0,402.06,413.0,1.53,0.37,13806,565489809.0,3.14,1.05
688169,20240619,413.0,415.5,404.0,405.0,-8.0,-1.94,7695,313982395.0,2.78,0.58
688169,20240620,408.0,411.79,403.68,408.5,3.5,0.86,8537,348965692.0,2.0,0.65
688169,20240621,408.5,417.01,405.06,413.28,4.78,1.17,8699,357806605.0,2.93,0.66
688169,20240624,410.12,417.5,402.35,404.76,-8.52,-2.06,10267,421166151.0,3.67,0.78
688169,20240625,405.0,415.9,400.11,405.49,0.73,0.18,12530,511554922.0,3.9,0.95
688169,20240626,401.3,407.97,394.41,397.0,-8.49,-2.09,12671,505309008.0,3.34,0.96
688169,20240627,397.6,398.0,390.39,393.2,-3.8,-0.96,11747,462447415.0,1.92,0.89
688169,20240628,393.19,399.38,389.58,392.6,-0.6,-0.15,8993,354801816.0,2.49,0.68
688169,20240701,390.97,393.86,382.33,387.34,-5.26,-1.34,8886,344977628.0,2.94,0.68
688169,20240702,387.33,393.88,374.21,378.12,-9.22,-2.38,17155,651265269.0,5.08,1.3
688169,20240703,381.5,381.5,372.0,373.18,-4.94,-1.31,9022,338409077.0,2.51,0.69
688169,20240704,373.86,387.82,370.46,378.81,5.63,1.51,11980,458720020.0,4.65,0.91
688169,20240705,375.02,383.01,369.0,379.86,1.05,0.28,9523,357773126.0,3.7,0.72
688169,20240708,379.4,382.45,372.78,380.2,0.34,0.09,9146,346468464.0,2.55,0.7
688169,20240709,375.74,378.0,369.44,374.6,-5.6,-1.47,10985,409956738.0,2.25,0.83
688169,20240710,372.0,374.0,360.2,367.66,-6.94,-1.85,15269,557068913.0,3.68,1.16
688169,20240711,369.79,371.87,359.0,365.64,-2.02,-0.55,12813,465604785.0,3.5,0.97
688169,20240712,364.02,378.82,362.64,376.62,10.98,3.0,11684,436605434.0,4.43,0.89
688169,20240715,357.93,357.93,322.0,342.24,-34.38,-9.13,37954,1286759601.0,9.54,2.88
688169,20240716,338.6,343.58,330.48,332.68,-9.56,-2.79,22941,769834277.0,3.83,1.74
688169,20240717,333.0,334.98,324.08,331.99,-0.69,-0.21,14654,483372240.0,3.28,1.11
688169,20240718,332.83,339.8,328.0,334.36,2.37,0.71,13823,464056430.0,3.55,1.05
688169,20240719,332.0,336.97,329.3,332.63,-1.73,-0.52,11197,372605091.0,2.29,0.85
688169,20240722,331.65,344.44,330.01,337.96,5.33,1.6,14309,485282258.0,4.34,1.09
688169,20240723,339.37,339.37,320.67,320.67,-17.29,-5.12,13540,441692030.0,5.53,1.03
688169,20240724,318.82,318.82,299.06,307.02,-13.65,-4.26,27944,857067487.0,6.16,2.12
688169,20240725,305.12,307.37,295.02,296.2,-10.82,-3.52,14088,422209987.0,4.02,1.07
688169,20240726,298.84,303.74,296.4,298.04,1.84,0.62,13559,406081368.0,2.48,1.03
688169,20240729,298.87,311.0,298.87,303.68,5.64,1.89,19250,585318932.0,4.07,1.46
688169,20240730,302.0,302.0,287.25,292.69,-10.99,-3.62,17860,519551301.0,4.86,1.36
688169,20240731,293.27,314.8,285.33,314.64,21.95,7.5,22902,700769493.0,10.07,1.74
688169,20240801,314.0,316.0,302.0,302.88,-11.76,-3.74,19780,606244251.0,4.45,1.5
688169,20240802,301.58,304.58,292.19,292.91,-9.97,-3.29,13214,392244465.0,4.09,1.0
688169,20240805,291.72,300.16,281.09,284.0,-8.91,-3.04,15680,451394152.0,6.51,1.19
688169,20240806,284.99,288.72,278.07,282.0,-2.0,-0.7,15923,447977216.0,3.75,1.21
688169,20240807,281.77,291.36,275.64,286.5,4.5,1.6,16190,461157093.0,5.57,1.23
688169,20240808,201.38,204.31,196.61,202.51,-83.99,-29.32,16298,328120735.0,2.69,0.88
688169,20240809,201.3,207.14,201.3,202.84,0.33,0.16,16554,336323343.0,2.88,0.9
688169,20240812,204.8,215.11,199.01,212.58,9.74,4.8,28933,608738558.0,7.94,1.57
688169,20240813,214.0,217.57,208.32,213.0,0.42,0.2,19761,419385841.0,4.35,1.07
688169,20240814,213.0,215.67,206.51,214.17,1.17,0.55,18720,396604856.0,4.3,1.01
688169,20240815,214.17,214.17,205.23,205.95,-8.22,-3.84,19986,416295891.0,4.17,1.08
688169,20240816,206.0,210.45,204.95,209.0,3.05,1.48,15287,318164037.0,2.67,0.83
688169,20240819,208.5,208.5,193.0,198.91,-10.09,-4.83,41282,821911733.0,7.42,2.24
688169,20240820,199.0,200.91,196.5,199.88,0.97,0.49,17694,351451272.0,2.22,0.96
688169,20240821,199.87,203.0,197.02,201.93,2.05,1.03,14254,285936606.0,2.99,0.77
688169,20240822,202.9,205.39,200.25,204.1,2.17,1.07,13442,273814374.0,2.55,0.73
688169,20240823,204.21,218.85,203.0,217.38,13.28,6.51,30398,649680668.0,7.77,1.65
688169,20240826,219.0,225.45,216.3,222.48,5.1,2.35,24169,534830659.0,4.21,1.31
688169,20240827,225.0,226.98,218.31,224.15,1.67,0.75,16413,366502190.0,3.9,0.89
688169,20240828,222.5,226.97,219.34,225.0,0.85,0.38,12004,267957862.0,3.4,0.65
688169,20240829,219.0,222.78,212.66,219.98,-5.02,-2.23,17326,379142571.0,4.5,0.94
688169,20240830,215.0,229.85,214.6,226.4,6.42,2.92,26817,601899244.0,6.93,1.45
688169,20240902,228.4,231.95,218.8,218.89,-7.51,-3.32,20961,469862732.0,5.81,1.14
688169,20240903,218.99,231.45,217.12,230.0,11.11,5.08,24564,560017148.0,6.55,1.33
688169,20240904,226.09,237.99,226.07,232.8,2.8,1.22,21917,512050527.0,5.18,1.19
688169,20240905,233.0,239.59,230.64,238.98,6.18,2.65,14409,340232341.0,3.84,0.78
688169,20240906,238.95,244.48,233.48,233.5,-5.48,-2.29,16053,381893683.0,4.6,0.87
688169,20240909,233.0,236.34,224.11,229.88,-3.62,-1.55,21087,481824959.0,5.24,1.14
688169,20240910,226.8,231.5,226.59,227.52,-2.36,-1.03,10468,238863705.0,2.14,0.57
688169,20240911,227.6,237.88,225.0,237.44,9.92,4.36,17989,421223377.0,5.66,0.98
688169,20240912,238.0,242.08,234.25,238.3,0.86,0.36,16254,386707724.0,3.3,0.88
688169,20240913,237.28,244.0,235.58,237.03,-1.27,-0.53,21483,515737751.0,3.53,1.16
688169,20240918,236.44,247.46,234.24,245.17,8.14,3.43,14958,363645000.0,5.58,0.81
688169,20240919,245.0,250.88,237.33,238.2,-6.97,-2.84,25187,612210413.0,5.53,1.36
688169,20240920,236.99,238.29,230.5,236.36,-1.84,-0.77,22223,521183108.0,3.27,1.2
688169,20240923,237.0,243.88,231.5,233.69,-2.67,-1.13,21490,508088856.0,5.24,1.16
688169,20240924,235.3,242.0,226.77,238.88,5.19,2.22,30796,722224255.0,6.52,1.67
688169,20240925,240.0,241.88,217.01,217.98,-20.9,-8.75,67519,1534498448.0,10.41,3.66
688169,20240926,217.8,220.66,207.14,219.81,1.83,0.84,52586,1124041678.0,6.2,2.85
688169,20240927,223.95,239.88,220.14,231.6,11.79,5.36,40394,942483219.0,8.98,2.19
688169,20240930,247.83,277.92,242.73,277.92,46.32,20.0,89511,2338933001.0,15.19,4.85
688169,20241008,333.5,333.5,282.3,315.0,37.08,13.34,146523,4464632891.0,18.42,7.93
688169,20241009,300.0,300.0,258.79,268.38,-46.62,-14.8,116791,3243129420.0,13.08,6.32
688169,20241010,273.0,280.93,262.13,267.17,-1.21,-0.45,61814,1679427137.0,7.0,3.35
688169,20241011,270.0,270.0,251.3,251.9,-15.27,-5.72,43020,1105770385.0,7.0,2.33
688169,20241014,255.0,265.98,248.51,262.39,10.49,4.16,47298,1219091760.0,6.94,2.56
688169,20241015,262.0,267.0,256.37,256.37,-6.02,-2.29,40737,1064612760.0,4.05,2.21
688169,20241016,250.78,254.85,247.55,248.54,-7.83,-3.05,36017,903201659.0,2.85,1.95
688169,20241017,250.0,259.5,244.0,244.6,-3.94,-1.59,39761,999376606.0,6.24,2.15
688169,20241018,247.47,273.98,246.0,263.8,19.2,7.85,80397,2101317281.0,11.44,4.35
688169,20241021,269.3,279.98,265.11,276.0,12.2,4.62,71106,1941211958.0,5.64,3.85
688169,20241022,278.63,278.73,268.0,268.49,-7.51,-2.72,46223,1255054786.0,3.89,2.5
688169,20241023,268.5,270.07,263.5,264.49,-4.0,-1.49,27384,727821421.0,2.45,1.48
688169,20241024,261.02,263.96,259.21,260.58,-3.91,-1.48,19528,508516767.0,1.8,1.06
688169,20241025,259.0,269.95,257.0,266.01,5.43,2.08,32136,849543509.0,4.97,1.74
688169,20241028,266.7,280.59,264.0,276.79,10.78,4.05,41493,1135256230.0,6.24,2.25
688169,20241029,276.81,282.57,269.52,270.0,-6.79,-2.45,42211,1165008264.0,4.71,2.29
688169,20241030,268.98,276.33,263.41,264.79,-5.21,-1.93,31963,854305247.0,4.79,1.73
688169,20241031,238.8,240.0,211.83,235.6,-29.19,-11.02,143375,3208596561.0,10.64,7.76
688169,20241101,225.25,230.49,223.72,224.44,-11.16,-4.74,62483,1416603722.0,2.87,3.38
688169,20241104,226.42,237.98,224.0,232.65,8.21,3.66,42787,996102173.0,6.23,2.32
688169,20241105,232.65,236.88,226.22,233.22,0.57,0.25,49240,1140058707.0,4.58,2.67
688169,20241106,233.18,240.99,226.0,228.27,-4.95,-2.12,52563,1228024528.0,6.43,2.85
688169,20241107,223.3,227.0,218.42,220.0,-8.27,-3.62,94418,2088279886.0,3.76,5.11
688169,20241108,222.14,225.54,216.55,218.91,-1.09,-0.5,65985,1459041194.0,4.09,3.57
688169,20241111,216.51,223.4,214.5,223.0,4.09,1.87,63576,1396219040.0,4.07,3.44
688169,20241112,226.0,226.5,222.0,223.08,0.08,0.04,45720,1026887341.0,2.02,2.48
688169,20241113,222.0,232.0,221.81,230.96,7.88,3.53,49514,1126742382.0,4.57,2.68
688169,20241114,231.0,232.96,226.6,226.9,-4.06,-1.76,33843,775206744.0,2.75,1.83
688169,20241115,224.0,226.0,218.88,218.95,-7.95,-3.5,28952,642163640.0,3.14,1.57
688169,20241118,220.0,220.99,214.23,217.78,-1.17,-0.53,22050,478649354.0,3.09,1.19
688169,20241119,217.5,219.95,213.66,218.72,0.94,0.43,25194,545507894.0,2.89,1.36
688169,20241120,218.0,218.0,215.3,215.93,-2.79,-1.28,22994,497082863.0,1.23,1.24
688169,20241121,215.97,216.11,212.66,213.07,-2.86,-1.32,24879,531534334.0,1.6,1.35
688169,20241122,213.25,215.34,202.58,203.52,-9.55,-4.48,34056,710925326.0,5.99,1.84
688169,20241125,204.0,204.82,193.8,196.41,-7.11,-3.49,37106,732214301.0,5.41,2.01
688169,20241126,196.0,199.99,193.88,197.5,1.09,0.55,19162,379951150.0,3.11,1.04
688169,20241127,197.64,210.0,194.02,208.84,11.34,5.74,45608,937493220.0,8.09,2.47
688169,20241128,208.6,209.5,204.61,205.5,-3.34,-1.6,26229,542655996.0,2.34,1.42
688169,20241129,204.66,215.49,204.5,214.5,9.0,4.38,44860,952207994.0,5.35,2.43
688169,20241202,218.79,222.6,214.0,222.51,8.01,3.73,46494,1018593091.0,4.01,2.52
688169,20241203,219.85,224.56,219.01,222.54,0.03,0.01,21815,483672047.0,2.49,1.18
688169,20241204,221.61,222.2,215.51,217.8,-4.74,-2.13,27945,608653599.0,3.01,1.51
688169,20241205,216.05,220.7,216.03,218.11,0.31,0.14,17873,390546397.0,2.14,0.97
688169,20241206,218.0,229.0,217.3,226.0,7.89,3.62,35402,801360177.0,5.36,1.92
688169,20241209,225.0,229.62,221.6,226.51,0.51,0.23,25404,574454564.0,3.55,1.38
688169,20241210,236.1,236.71,228.5,231.64,5.13,2.26,41374,960445385.0,3.62,2.24
688169,20241211,231.63,232.52,223.2,224.51,-7.13,-3.08,35811,817090891.0,4.02,1.94
688169,20241212,225.0,226.83,220.52,223.12,-1.39,-0.62,41975,938354384.0,2.81,2.27
688169,20241213,220.5,226.73,218.18,223.12,0.0,0.0,89351,1983598672.0,3.83,4.84
688169,20241216,220.8,225.5,216.6,222.94,-0.18,-0.08,37676,831960863.0,3.99,2.04
688169,20241217,220.99,229.66,220.88,224.31,1.37,0.61,29865,677864709.0,3.94,1.62
688169,20241218,224.27,224.93,217.88,221.38,-2.93,-1.31,23288,513592156.0,3.14,1.26
688169,20241219,218.01,219.82,216.29,218.22,-3.16,-1.43,21504,468185134.0,1.59,1.16
688169,20241220,219.2,220.44,216.02,216.02,-2.2,-1.01,23616,514283168.0,2.03,1.28
688169,20241223,216.9,219.39,212.46,215.4,-0.62,-0.29,26915,580736780.0,3.21,1.46
688169,20241224,215.12,219.19,214.67,215.96,0.56,0.26,16634,360238030.0,2.1,0.9
688169,20241225,215.99,215.99,210.0,212.66,-3.3,-1.53,21880,465640516.0,2.77,1.18
688169,20241226,212.0,213.87,209.7,210.0,-2.66,-1.25,18898,399790647.0,1.96,1.02
688169,20241227,209.07,213.42,207.19,211.02,1.02,0.49,25174,529341160.0,2.97,1.36
688169,20241230,211.02,224.3,211.02,222.68,11.66,5.53,45502,1003832132.0,6.29,2.46
688169,20241231,222.8,225.0,218.5,219.29,-3.39,-1.52,28250,625735273.0,2.92,1.53
688169,20250102,219.3,228.95,216.13,220.3,1.01,0.46,38371,854515505.0,5.85,2.08
688169,20250103,221.3,230.88,221.3,226.12,5.82,2.64,45066,1025794511.0,4.35,2.44
688169,20250106,228.9,237.96,222.75,235.19,9.07,4.01,52244,1214222071.0,6.73,2.83
688169,20250107,235.0,245.0,230.38,234.18,-1.01,-0.43,50815,1209062356.0,6.22,2.75
688169,20250108,231.8,243.0,231.25,240.91,6.73,2.87,38092,905861754.0,5.02,2.06
688169,20250109,239.86,239.86,234.51,235.28,-5.63,-2.34,26071,616199938.0,2.22,1.41
688169,20250110,233.98,233.98,223.6,223.8,-11.48,-4.88,30685,698021432.0,4.41,1.66
688169,20250113,223.9,227.57,218.98,219.99,-3.81,-1.7,23290,518061681.0,3.84,1.26
688169,20250114,220.0,226.88,218.0,226.5,6.51,2.96,28030,626036342.0,4.04,1.52
688169,20250115,226.0,229.87,222.5,224.03,-2.47,-1.09,23053,521118282.0,3.25,1.25
688169,20250116,226.0,239.92,224.12,237.3,13.27,5.92,41479,977016849.0,7.05,2.25
688169,20250117,235.72,240.5,232.63,237.1,-0.2,-0.08,24333,575833714.0,3.32,1.32
688169,20250120,238.83,240.93,233.85,235.0,-2.1,-0.89,22692,538812478.0,2.99,1.23
688169,20250121,236.0,239.73,232.5,238.66,3.66,1.56,25585,604033872.0,3.08,1.39
688169,20250122,236.28,238.66,228.07,235.22,-3.44,-1.44,26845,625140111.0,4.44,1.45
688169,20250123,235.51,237.93,228.51,229.18,-6.04,-2.57,28143,655575427.0,4.0,1.52
688169,20250124,228.0,229.92,223.12,227.78,-1.4,-0.61,27207,614608808.0,2.97,1.47
688169,20250127,228.21,234.81,226.03,228.79,1.01,0.44,27394,633032431.0,3.85,1.48
688169,20250205,232.01,232.19,215.81,223.55,-5.24,-2.29,39211,865801931.0,7.16,2.12
688169,20250206,221.0,236.49,221.0,234.76,11.21,5.01,42468,978732051.0,6.93,2.3
688169,20250207,234.76,240.67,232.17,237.03,2.27,0.97,37028,879670042.0,3.62,2.0
688169,20250210,237.9,243.88,236.56,239.1,2.07,0.87,27631,661002380.0,3.09,1.5
688169,20250211,240.0,244.5,237.5,239.18,0.08,0.03,28542,688167781.0,2.93,1.55
688169,20250212,237.0,244.38,234.25,236.32,-2.86,-1.2,30542,725897383.0,4.24,1.65
688169,20250213,235.96,249.8,234.86,244.95,8.63,3.65,50071,1226490672.0,6.32,2.71
688169,20250214,243.27,263.0,243.1,256.6,11.65,4.76,51473,1306149434.0,8.12,2.79
688169,20250217,260.0,260.01,248.5,254.12,-2.48,-0.97,39197,990860144.0,4.49,2.12
688169,20250218,252.0,255.73,244.8,245.3,-8.82,-3.47,44426,1110563862.0,4.3,2.41
688169,20250219,244.55,251.2,243.01,248.03,2.73,1.11,43208,1068128042.0,3.34,2.34
688169,20250220,248.08,254.88,245.17,252.23,4.2,1.69,33786,849458901.0,3.91,1.83
688169,20250221,253.51,272.42,245.35,269.39,17.16,6.8,65959,1704588308.0,10.73,3.57
688169,20250224,268.93,270.31,259.11,265.59,-3.8,-1.41,39637,1052263941.0,4.16,2.15
688169,20250225,260.5,265.6,259.73,260.1,-5.49,-2.07,33146,867429790.0,2.21,1.79
688169,20250226,260.1,265.99,257.01,260.22,0.12,0.05,44129,1152736065.0,3.45,2.39
688169,20250227,260.99,264.43,251.21,254.28,-5.94,-2.28,38394,988697384.0,5.08,2.08
688169,20250228,245.0,247.0,235.02,239.0,-15.28,-6.01,52235,1261906079.0,4.71,2.83
688169,20250303,240.0,243.5,232.94,234.76,-4.24,-1.77,41879,994339552.0,4.42,2.27
688169,20250304,234.06,236.84,233.08,235.62,0.86,0.37,26203,616147926.0,1.6,1.42
688169,20250305,234.99,236.5,233.12,234.8,-0.82,-0.35,23927,562244475.0,1.43,1.3
